date,vix,term_spread,vix_rolling_z,spike,spike_probability,signal
2018-09-25,12.4200000762939,2.5,-0.374782544575653,1,0.87768996,SPIKE_RISK
2018-09-26,12.8900003433228,2.25999927520752,-0.269672005575768,1,0.7143665,SPIKE_RISK
2018-09-27,12.4099998474121,2.48000049591064,-0.382770127419045,1,0.8777884,SPIKE_RISK
2018-09-28,12.1199998855591,2.65000057220459,-0.452378544243757,1,0.83498013,SPIKE_RISK
2018-10-02,12.0500001907349,2.78999996185303,-0.474331113603723,1,0.9457946,SPIKE_RISK
2018-10-03,11.6099996566772,3.07000064849854,-0.578451912426187,1,0.9235171,SPIKE_RISK
2018-10-04,14.2200002670288,1.61999988555908,0.0223283991276081,1,0.8710582,SPIKE_RISK
2018-10-05,14.8199996948242,1.43000030517578,0.15725679666288,1,0.6623743,SPIKE_RISK
2018-10-08,15.6899995803833,0.820000648498535,0.354612175240114,1,0.72198653,SPIKE_RISK
2018-10-09,15.9499998092651,0.679999351501465,0.410071940603673,1,0.7453217,SPIKE_RISK
2018-10-10,22.9599990844727,-2.2599983215332,2.01796332694476,0,0.114930175,CALM
2018-10-11,24.9799995422363,-3.42000007629395,2.44401631747884,0,0.0755303,CALM
2018-10-12,21.3099994659424,-1.46999931335449,1.58817924257076,0,0.26114893,CALM
2018-10-15,21.2999992370605,-1.0099983215332,1.57000481779035,0,0.22483094,CALM
2018-10-16,17.6200008392334,0.339998245239258,0.728674482717563,1,0.73272854,SPIKE_RISK
2018-10-17,17.3999996185303,0.700000762939453,0.672728892572439,1,0.7122863,SPIKE_RISK
2018-10-18,20.0599994659424,-0.19999885559082,1.26629992918875,1,0.7963445,SPIKE_RISK
2018-10-19,19.8899993896484,-0.0499992370605469,1.21729892689674,1,0.8567507,SPIKE_RISK
2018-10-22,19.6399993896484,0.180000305175781,1.15098161826143,1,0.80852103,SPIKE_RISK
2018-10-23,20.7099990844727,-0.429998397827148,1.38149856669245,1,0.49213248,CALM
2018-10-24,25.2299995422363,-2.60999870300293,2.36897227860014,0,0.08990441,CALM
2018-10-25,24.2199993133545,-1.77999877929688,2.11431039210453,0,0.055622034,CALM
2018-10-26,24.1599998474121,-1.68000030517578,2.07428001180517,0,0.030771693,CALM
2018-10-29,24.7000007629395,-1.64000129699707,2.16367433434425,0,0.07825851,CALM
2018-10-30,23.3500003814697,-1.1200008392334,1.84541076204261,0,0.09812014,CALM
2018-10-31,21.2299995422363,-0.0799999237060547,1.36990685062773,0,0.2107738,CALM
2018-11-01,19.3400001525879,0.729999542236328,0.950624899993688,0,0.118102565,CALM
2018-11-02,19.5100002288818,0.789999008178711,0.980272410583908,0,0.14387816,CALM
2018-11-05,19.9599990844727,0.240001678466797,1.06925829916147,0,0.15780093,CALM
2018-11-06,19.9099998474121,-0.329999923706055,1.04976486236631,0,0.18358676,CALM
2018-11-07,16.3600006103516,1.26000022888184,0.275750419165271,1,0.7304532,SPIKE_RISK
2018-11-08,16.7199993133545,0.960000991821289,0.34855819732652,1,0.78840965,SPIKE_RISK
2018-11-09,17.3600006103516,1.09999847412109,0.482237336854831,1,0.7759682,SPIKE_RISK
2018-11-12,20.4500007629395,-0.220001220703125,1.15080937598636,0,0.229586,CALM
2018-11-13,20.0200004577637,0.25,1.04855727670435,0,0.22768407,CALM
2018-11-14,21.25,-0.0300006866455078,1.30577782299016,0,0.22713539,CALM
2018-11-15,19.9799995422363,0.329999923706055,1.020573030084,0,0.2085161,CALM
2018-11-16,18.1399993896484,1.21000099182129,0.613384644717645,1,0.5609917,SPIKE_RISK
2018-11-19,20.1000003814697,0.539999008178711,1.03295381820868,0,0.26863125,CALM
2018-11-20,22.4799995422363,-0.209999084472656,1.53736185707209,0,0.22663745,CALM
